DESCRIPTION	PRICELINE	BASIS	FORMULA	GM-PCT	HITS
3M 13-3/4X15FT SEMI-CONDUCTIVE TAPE	3M	CALCCST	+47.06	39.3%	0
3M 1700P-PRINTED 3/4X66FT VIN TAPE	3M	CALCCST	+47.06	32.0%	16
3M 1700C-BROWN 3/4X66FT VINYL CODE	3M	CALCCST	+47.06	32.0%	0
3M 1700C-GREEN 3/4X66FT VINYL TAPE	3M	CALCCST	+47.06	32.0%	0
3M 1700C-GRAY 3/4X66FT VINYL CODE	3M	CALCCST	+47.06	32.0%	0
3M 1700C-ORANGE 3/4X66FT VINYL TAPE	3M	CALCCST	+47.06	32.0%	0
3M 1700C-RED 3/4X66FT VINYL CODE	3M	CALCCST	+47.06	32.0%	0
3M 1700C-WHITE 3/4X66FT VINYL TAPE	3M	CALCCST	+47.06	43.1%	0
3M 1700C-YELLOW 3/4X66FT VINYL CODE	3M	CALCCST	+47.06	32.0%	0
3M 1755-3/4X60FT FRICTION TAPE	3M	CALCCST	+47.06	43.9%	0
3M 2104-SIZE-A INSUL&SEAL COMPOUND	3M	CALCCST	+47.06	33.4%	1
3M 27-1/2X66FT GLASS CLOTH TAPE	3M	CALCCST	+47.06	40.0%	0
3M 3570-G CONN-SEALING PACK	3M	CALCCST	+47.06	30.2%	0
3M 35-BLUE-3/4X66FT CODING TAPE	3M	CALCCST	+47.06	32.6%	24
3M 35-BROWN-3/4X66FT CODING TAPE	3M	CALCCST	+47.06	32.9%	11
3M 35-GRAY-3/4X66FT CODING TAPE	3M	CALCCST	+47.06	35.7%	1
3M 35-GREEN-3/4X66FT CODING TAPE	3M	CALCCST	+47.06	33.2%	17
3M 35-ORANGE-3/4X66FT CODING TAPE	3M	CALCCST	+47.06	35.7%	14
3M 35-RED-3/4X66FT CODING TAPE	3M	CALCCST	+47.06	32.3%	26
3M 35-VIOLET-3/4X66FT CODING TAPE	3M	CALCCST	+47.06	35.7%	2
3M 35-WHITE-3/4X66FT CODING TAPE	3M	CALCCST	+47.06	32.8%	40
3M 35-YELLOW-3/4X66FT CODING TAPE	3M	CALCCST	+47.06	35.7%	17
3M 560-BOX SELF-STRIP TAP CONN	3M	CALCCST	+47.06	32.0%	0
3M 562-BOX SELF-STRIP TAP CONN	3M	CALCCST	+47.06	32.0%	0
